matter,tag,fp,tp,tn,fn,pos_prec,neg_prec,pos_recall,neg_recall,f_pos,f_neg,weighted_precision,accuracy,timeStamp,pos_sig,tag_count
5e1c4907e88b4b44a86e23a77106b730,Contracts,1872,1539,327764,10063,0.45118733509234826,0.9702125644190666,0.13264954318220995,0.9943210086276985,0.3048007605165174,0.9749402716568785,0.7106999497557074,0.9650244111148231,2019-03-01T23:00:25.387585Z,14218,41
5e1c4907e88b4b44a86e23a77106b730,Sutter Contracts,402,51,189385,2383,0.11258278145695365,0.9875735263443327,0.0209531635168447,0.9978818359529367,0.06005652378709373,0.989618115103688,0.5500781539006432,0.9855114685700314,2019-03-01T23:00:25.387585Z,2504,41
5e1c4907e88b4b44a86e23a77106b730,Other Provider Contracts,441,633,279080,4313,0.5893854748603352,0.9847808520323367,0.127982207844723,0.9984223010077955,0.3424583423501406,0.9874792388045232,0.787083163446336,0.9832880439558894,2019-03-01T23:00:25.387585Z,5008,41
b7944ee16664495b93ae0e782f0bc2b8,Contract,493,315,25146,720,0.38985148514851486,0.9721642310368824,0.30434782608695654,0.9807714809469948,0.3691117881415515,0.9738735738131569,0.6810078580926986,0.9545250056234535,2019-06-17T23:00:44.998091Z,1108,10
48021eed5017445c9309b3a8444c830c,CV Contracts,1472,3429,122925,1110,0.6996531320138747,0.9910509130487363,0.7554527428949108,0.9881669172086144,0.7101437269601955,0.9904727679413153,0.8453520225313055,0.9799745610225228,2019-07-15T23:00:45.274932Z,4628,33
361efa2d569943a187b5f30b9b5edcad,Contract,4072,3561,19387,2243,0.4665269225730381,0.8963014331946371,0.6135423845623708,0.8264205635363826,0.4900099075297226,0.8813955391483829,0.6814141778838376,0.784198475891057,2019-07-15T23:00:45.274932Z,5948,22
361efa2d569943a187b5f30b9b5edcad,Franchise Agreements and Franchise Disclosure Documents,4384,6509,18623,1182,0.5975397043973194,0.9403181014895229,0.846313873358471,0.8094492980397271,0.6348633517351696,0.9108650356559422,0.7689289029434212,0.8186852563684931,2019-07-15T23:00:45.274932Z,7782,22
361efa2d569943a187b5f30b9b5edcad,Employee Confidentiality or Non-Compete Agreement,225,493,26961,604,0.6866295264623955,0.9780881552693633,0.44940747493163175,0.9917236813065549,0.6210632401108591,0.9807851810893006,0.8323588408658794,0.9706891065304246,2019-07-15T23:00:45.274932Z,1166,22
361efa2d569943a187b5f30b9b5edcad,Franchise Agreements and Franchise Disclosure Documents,4384,6509,18623,1182,0.5975397043973194,0.9403181014895229,0.846313873358471,0.8094492980397271,0.6348633517351696,0.9108650356559422,0.7689289029434212,0.8186852563684931,2019-07-15T23:00:45.274932Z,7782,22
c53083e255874282875de28b29e71fae,License Agreement,741,24,1082,1,0.03137254901960784,0.9990766389658357,0.96,0.5935271530444323,0.03889789303079416,0.8789601949634442,0.5152245939927218,0.5984848484848485,2019-07-15T23:00:45.274932Z,550,22
5e1c4907e88b4b44a86e23a77106b730,Contracts,1871,1538,335368,10143,0.4511586975652684,0.9706434816836512,0.13166680934851469,0.994452005847485,0.30374846940790773,0.9753135464027739,0.7109010896244599,0.9655680385188582,2019-07-15T23:00:45.274932Z,14297,41
5e1c4907e88b4b44a86e23a77106b730,Sutter Contracts,401,51,197173,2447,0.11283185840707964,0.9877417092475704,0.020416333066453164,0.9979703807181107,0.05921969345099861,0.989770634925416,0.550286783827325,0.9857651245551602,2019-07-15T23:00:45.274932Z,2568,41
5e1c4907e88b4b44a86e23a77106b730,Other Provider Contracts,441,633,286799,4322,0.5893854748603352,0.9851539394272485,0.1277497477295661,0.9984646985099568,0.3421251756566857,0.9877876235427673,0.7872697071437919,0.9836992419445918,2019-07-15T23:00:45.274932Z,5017,41
b7944ee16664495b93ae0e782f0bc2b8,Contract,437,278,21446,559,0.3888111888111888,0.9745966825721427,0.3321385902031063,0.9800301603984828,0.3759805247497971,0.9756785529057442,0.6817039356916658,0.956161971830986,2019-05-28T23:01:00.646060Z,909,8
48021eed5017445c9309b3a8444c830c,CV Contracts,1160,2383,111472,1640,0.6725938470222975,0.9855010962585756,0.5923440218742232,0.9897009730804744,0.6548502335806541,0.9863382175975085,0.8290474716404366,0.975997599759976,2019-05-28T23:01:00.646060Z,4248,31
5e1c4907e88b4b44a86e23a77106b730,Contracts,1871,1539,328148,10072,0.4513196480938416,0.9702205664951806,0.13254672293514771,0.9943306294486075,0.3047404063205417,0.974948585744005,0.7107701072945112,0.9650411263647806,2019-05-28T23:01:00.646060Z,14227,41
5e1c4907e88b4b44a86e23a77106b730,Sutter Contracts,401,51,189863,2391,0.11283185840707964,0.9875633276810886,0.020884520884520884,0.9978924021359795,0.06,0.989612000667167,0.5501975930440841,0.9855116083567714,2019-05-28T23:01:00.646060Z,2512,41
5e1c4907e88b4b44a86e23a77106b730,Other Provider Contracts,441,633,279510,4314,0.5893854748603352,0.9848004397091155,0.12795633717404487,0.9984247243267572,0.34242129178838043,0.9874954689888054,0.7870929572847254,0.9833098161447255,2019-05-28T23:01:00.646060Z,5009,41
48021eed5017445c9309b3a8444c830c,CV Contracts,699,1051,89617,400,0.6005714285714285,0.9955563949031849,0.7243280496209511,0.9922605075512645,0.6218199029700627,0.9948954669792888,0.7980639117373067,0.9880240173482843,2019-04-05T23:00:27.294073Z,2059,21
5e1c4907e88b4b44a86e23a77106b730,Contracts,1871,1539,328121,10071,0.4513196480938416,0.9702210578606235,0.1325581395348837,0.9943301655797716,0.30475247524752475,0.9749488934845135,0.7107703529772326,0.965041188283441,2019-04-05T23:00:27.294073Z,14226,41
